t_wall,t_sim_ns,ref_pos_shoulder_pan,ref_vel_shoulder_pan,fb_pos_shoulder_pan,err_pos_shoulder_pan,js_pos_shoulder_pan,js_vel_shoulder_pan,isaac_pos_shoulder_pan,isaac_vel_shoulder_pan,isaac_lag_shoulder_pan,ref_pos_shoulder_lift,ref_vel_shoulder_lift,fb_pos_shoulder_lift,err_pos_shoulder_lift,js_pos_shoulder_lift,js_vel_shoulder_lift,isaac_pos_shoulder_lift,isaac_vel_shoulder_lift,isaac_lag_shoulder_lift,ref_pos_elbow_flex,ref_vel_elbow_flex,fb_pos_elbow_flex,err_pos_elbow_flex,js_pos_elbow_flex,js_vel_elbow_flex,isaac_pos_elbow_flex,isaac_vel_elbow_flex,isaac_lag_elbow_flex,ref_pos_wrist_flex,ref_vel_wrist_flex,fb_pos_wrist_flex,err_pos_wrist_flex,js_pos_wrist_flex,js_vel_wrist_flex,isaac_pos_wrist_flex,isaac_vel_wrist_flex,isaac_lag_wrist_flex,ref_pos_wrist_roll,ref_vel_wrist_roll,fb_pos_wrist_roll,err_pos_wrist_roll,js_pos_wrist_roll,js_vel_wrist_roll,isaac_pos_wrist_roll,isaac_vel_wrist_roll,isaac_lag_wrist_roll,tcp_x,tcp_y,tcp_z,cup_red_x,cup_red_y,cup_red_z,cup_green_x,cup_green_y,cup_green_z,cup_blue_x,cup_blue_y,cup_blue_z,attached_lego_xyz,physics_rate_hz,sim_time_s,render_fps,app_dt_ms
1776999794.8486776,348033351484,1.5630000108636146,-0.015667168655473938,1.5632071536481995,-0.00020714278458489055,1.5632071536481995,-0.005306844010754524,1.568339228630066,-0.6345819234848022,-0.0053392177664512985,-0.0028613915559506957,-0.005886020820736938,-0.002783569789316034,-7.782176663466162e-05,-0.002783569789316034,-0.0019937357557444106,-0.22193852066993713,0.3772997558116913,0.21907712911398644,-0.006550486464994213,-0.039890099322090644,-0.006023081262902432,-0.0005274052020917807,-0.006023081262902432,-0.013511728847179093,0.20787428319454193,-0.07233015447854996,-0.21442476965953614,1.5739300539962293,-0.002419143233858257,1.5739620385926032,-3.1984596373879626e-05,1.5739620385926032,-0.0008194215600835416,0.8007116317749023,0.0013300254940986633,0.773218422221327,-1.568470869071587,-0.004448147190380212,-1.5684120580882164,-5.881098337057189e-05,-1.5684120580882164,-0.0015066936340136755,-1.5652114152908325,-0.06305500119924545,-0.003259453780754429,0.04659011605777708,-0.28014554819656357,0.1277682017155172,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.038835640996694565,-0.2799999713897705,1.4901161193847656e-08,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.00000000001216,,
1776999794.9040933,348033351484,1.561283576831883,-0.03925297444071356,1.5620006981462142,-0.000717121314331326,1.5620006981462142,-0.03265450850330535,1.5680656433105469,-0.3505687415599823,-0.006782066478663973,-0.003506241092607231,-0.01474700565973483,-0.003236824768574849,-0.0002694163240323823,-0.003236824768574849,-0.012268018629800263,-0.2219758927822113,0.22796081006526947,0.21846965168960408,-0.01092069052108736,-0.09994180081690632,-0.009094831549134435,-0.001825858971952924,-0.009094831549134435,-0.08314147987786423,0.2079050987958908,-0.08325734734535217,-0.21882578931697816,1.5736650220772184,-0.006060990955990756,1.5737757516680952,-0.00011072959087687906,1.5737757516680952,-0.005042132055751963,0.8006644248962402,0.02249806746840477,0.7730005971809781,-1.568958190768545,-0.011144515758511279,-1.5687545891331989,-0.00020360163534616227,-1.5687545891331989,-0.009271111037755138,-1.5654022693634033,-0.05134398490190506,-0.0035559214051417154,0.046583291174656205,-0.2801515702737175,0.12779216573577812,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.038835640996694565,-0.2799999713897705,1.4901161193847656e-08,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.0166666666788,,
1776999795.000128,348050018152,1.5568881057223176,-0.07066477333156698,1.5582250033481346,-0.0013368976258170129,1.5582250033481346,-0.06279613715386978,1.5678215026855469,-0.7223392128944397,-0.010933396963229258,-0.005157581870048807,-0.02654814895204685,-0.0046553209042166765,-0.0005022609658321305,-0.0046553209042166765,-0.023591969862429053,-0.22201260924339294,0.22426630556583405,0.21685502737334414,-0.02211197740792437,-0.17991922399999588,-0.018708109086210813,-0.003403868321713556,-0.018708109086210813,-0.15988492900000312,0.20793084800243378,-0.03901873156428337,-0.23004282541035814,1.5729863241945201,-0.010911238146272931,1.573192752485233,-0.00020642829071282343,1.573192752485233,-0.009696254227494039,0.8005964756011963,0.02051595225930214,0.7723898485933238,-1.5702061317907128,-0.02006280265856384,-1.5698265662451532,-0.00037956554555962363,-1.5698265662451532,-0.017828777310682425,-1.5656569004058838,-0.03940573334693909,-0.004549231384828989,0.046700331880835354,-0.28015869199970866,0.12780062301312684,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.038835640996694565,-0.2799999713897705,1.4901161193847656e-08,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.03333333334547,,
1776999795.1004786,348066684819,1.5478566499247044,-0.1099448458123251,1.5499795017672295,-0.002122851842525142,1.5499795017672295,-0.10208003549342423,1.560530662536621,-5.448556900024414,-0.012674012611916696,-0.008550622312473244,-0.04130533511283623,-0.007753085091855359,-0.0007975372206178851,-0.007753085091855359,-0.03835059336555957,-0.11585750430822372,8.709656715393066,0.10730688199575047,-0.045106921594213464,-0.27993001900000064,-0.039701939193976445,-0.00540498240023702,-0.039701939193976445,-0.25990546499999545,0.06384304910898209,-7.556525707244873,-0.10894997070319555,1.571591791100176,-0.016976413268678107,1.5719195773635573,-0.0003277862633812578,1.5719195773635573,-0.01576202009482605,0.9434828162193298,5.19749116897583,0.6281089748808462,-1.5727702992937638,-0.031215011962350762,-1.5721675894061915,-0.0006027098875722725,-1.5721675894061915,-0.028982072833890156,-1.5678436756134033,-0.059768855571746826,-0.0049266236803604535,0.04936244593258575,-0.2793211925110355,0.12112071223400805,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.038835640996694565,-0.2799999713897705,1.4901161193847656e-08,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.0500000000121,,
1776999795.1711233,348083351487,1.537804574749511,-0.14136456970867767,1.5405527111453723,-0.002748136395861245,1.5405527111453723,-0.13351117805265594,1.5621275901794434,-0.019754886627197266,-0.024323015429932315,-0.012327100696915066,-0.05310945576174804,-0.011294649435301073,-0.0010324512616139928,-0.011294649435301073,-0.050159003908113044,-0.024956190958619118,4.16960334777832,0.012629090261704052,-0.07070045964497611,-0.35992762000000067,-0.06370344338810133,-0.00699701625687478,-0.06370344338810133,-0.3399321390000194,0.0016901586204767227,-1.2548120021820068,-0.07239061826545283,1.5700396657493185,-0.021827884146699176,1.5704640012316236,-0.00042433548230502716,1.5704640012316236,-0.020615254110899657,1.0077863931655884,3.508312702178955,0.5622532725837301,-1.5756242361429325,-0.04013554889182613,-1.574843998471606,-0.0007802376713264003,-1.574843998471606,-0.03790585169525032,-1.5687497854232788,-0.11425928771495819,-0.006874450719653646,0.049190275010148256,-0.27853157923075783,0.1051505027652004,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.038835640996694565,-0.2799999713897705,1.4901161193847656e-08,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.06666666667877,,
1776999795.2377188,348100018154,1.5318348568233164,-0.1570772243649291,1.5348989197065845,-0.003064062883268104,1.5318348568233164,-0.1570772243649291,1.566227912902832,1.0201023817062378,-0.034393056079515594,-0.014569872494436434,-0.059012565282666074,-0.013418730362532333,-0.0011511421319041013,-0.014569872494436434,-0.059012565282666074,0.002655238611623645,0.9704022407531738,-0.01722511110606008,-0.08589992843460721,-0.399933531000004,-0.07809853333696842,-0.007801395097638789,-0.08589992843460721,-0.399933531000004,-0.015027446672320366,-0.458324134349823,-0.07087248176228685,1.569117890855156,-0.02425405080349634,1.5695910080568147,-0.00047311720165876814,1.569117890855156,-0.02425405080349634,1.159041404724121,10.000000953674316,0.41007648613103487,-1.57731912975164,-0.04459661024871754,-1.5764491957511175,-0.0008699340005224876,-1.57731912975164,-0.04459661024871754,-1.5697463750839233,-0.08024228364229202,-0.007572754667716675,0.04669416365920502,-0.25938170113188896,0.09085783800418956,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.038835640996694565,-0.2799999713897705,1.4901161193847656e-08,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.0833333333454,,
1776999795.305918,348116684822,1.514163547958944,-0.1963525501076126,1.5180129011061745,-0.003849353147230561,1.5180129011061745,-0.18849562018232158,1.5540715456008911,1.1790590286254883,-0.03990799764194719,-0.021208831593726243,-0.0737679681347238,-0.019762662648384815,-0.0014461689453414278,-0.019762662648384815,-0.07081618698367903,-0.007001494523137808,-1.090624213218689,-0.014207337070588435,-0.13089275906357034,-0.499932240354267,-0.12109194037415073,-0.009800818689419608,-0.12109194037415073,-0.4799277505846456,-0.03321400284767151,-0.6231845617294312,-0.09767875621589883,1.5663892914373059,-0.030318492989306584,1.566983664091716,-0.0005943726544102024,1.566983664091716,-0.02910531661486234,1.27715265750885,7.6400861740112305,0.2892366339284558,-1.582336282793392,-0.05574747188170891,-1.5812433929571246,-0.00109288983626743,-1.5812433929571246,-0.05351677011664222,-1.5724016427993774,-0.02751661092042923,-0.00993463999401456,0.04975927453026683,-0.24440322641815332,0.08996307346778128,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.03878699615597725,-0.27973857522010803,0.004942908883094788,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.1000000000121,,
1776999795.3733983,348133351489,1.5059952395054763,-0.21206288277646665,1.510157890972221,-0.004162651466744771,1.5059952395054763,-0.21206288277646665,1.5454514026641846,-1.524275779724121,-0.03945616315870826,-0.02427759498579615,-0.07967020530487519,-0.02271372255028954,-0.0015638724355066108,-0.02427759498579615,-0.07967020530487519,-0.008719117380678654,-0.6343858242034912,-0.015558477605117495,-0.15169004813777712,-0.5399322393536707,-0.1410915421726507,-0.010598505965126404,-0.15169004813777712,-0.5399322393536707,-0.049550458788871765,-0.48407429456710815,-0.10213958934890535,1.5651280355868156,-0.032744301111655806,1.5657707841492488,-0.0006427485624331819,1.5651280355868156,-0.032744301111655806,1.427394151687622,9.12972640991211,0.1377338838991935,-1.5846553896528617,-0.060207873991058154,-1.5834735496641885,-0.0011818399886731612,-1.5846553896528617,-0.060207873991058154,-1.5734949111938477,-0.15032264590263367,-0.011160478459014023,0.052667251092721204,-0.2233909679505313,0.08693733053842112,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.03878922760486603,-0.2787070870399475,0.009833138436079025,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.1166666666787,,
1776999795.4444857,348150018157,1.4828262581379303,-0.25133697038143454,1.487773394480347,-0.004947136342416725,1.487773394480347,-0.24348351970343762,1.5378024578094482,1.2081360816955566,-0.0549761996715179,-0.03298198246789449,-0.09442514299921483,-0.031123385796420405,-0.0018585966714740818,-0.031123385796420405,-0.09147466897153235,-0.007527721114456654,-0.9472627639770508,-0.025454261353437833,-0.21068047507877335,-0.6399277962917063,-0.19808459611694426,-0.012595878961829093,-0.19808459611694426,-0.6199321650161842,-0.07180166989564896,-1.1334041357040405,-0.1388788051831244,1.561550549077077,-0.038808552118643425,1.5623144287335051,-0.0007638796564282124,1.5623144287335051,-0.03759591296935305,1.5408523082733154,3.1154887676239014,0.02069824080376148,-1.5912334154366046,-0.07135838409765913,-1.5898288482741614,-0.0014045671624431932,-1.5898288482741614,-0.0691286701438335,-1.5761293172836304,-0.0035327672958374023,-0.015104098152974199,0.05358227285676394,-0.20870513480798777,0.08720348620870702,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.03886748477816582,-0.27635204792022705,0.015031449496746063,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.1333333333454,,
1776999795.5136664,348166684824,1.4724575246736564,-0.2670488147752036,1.4777204893106055,-0.005262964636949086,1.4724575246736564,-0.2670488147752036,1.5295521020889282,2.223651885986328,-0.0570945774152718,-0.036877426654234886,-0.10032794811144959,-0.0349001760026913,-0.0019772506515435898,-0.036877426654234886,-0.10032794811144959,-0.010747422464191914,-3.2878293991088867,-0.026130004190042973,-0.2370802552068574,-0.6799316442863489,-0.22368024741264986,-0.013400007794207552,-0.2370802552068574,-0.6799316442863489,-0.0979846939444542,-0.8688598275184631,-0.13909556126240322,1.5599495290105028,-0.041234593664025695,1.5607621752244747,-0.0008126462139719237,1.5599495290105028,-0.041234593664025695,1.5628447532653809,0.9634196758270264,-0.0028952242548780927,-1.5941772563845835,-0.07581921540882745,-1.5926830207713913,-0.0014942356131921741,-1.5941772563845835,-0.07581921540882745,-1.5788726806640625,-0.4504593312740326,-0.015304575720521019,0.05510595840342147,-0.208807155236444,0.09182432167454241,-0.049156397581100464,-0.28000012040138245,1.862645149230957e-08,0.03879912570118904,-0.2731449604034424,0.019154660403728485,0.12682759761810303,-0.27999991178512573,-1.4901161193847656e-08,,120.0,348.150000000012,,
